hotId,hotPriorId,hotLink
358081141,,https://www.zhihu.com/question/358081141
354112974,,https://www.zhihu.com/question/354112974
382507498,,https://www.zhihu.com/question/382507498
563752745,,https://www.zhihu.com/question/563752745
554025257,,https://www.zhihu.com/question/554025257
557600391,,https://www.zhihu.com/question/557600391
564840149,,https://www.zhihu.com/question/564840149
563949692,,https://www.zhihu.com/question/563949692
564832268,564828515,https://www.zhihu.com/question/564832268
564841708,,https://www.zhihu.com/question/564841708
548691349,,https://www.zhihu.com/question/548691349
294012988,,https://www.zhihu.com/question/294012988
564960233,,https://www.zhihu.com/question/564960233
564373696,,https://www.zhihu.com/question/564373696
564840833,,https://www.zhihu.com/question/564840833
564961864,,https://www.zhihu.com/question/564961864
564814986,,https://www.zhihu.com/question/564814986
476789663,,https://www.zhihu.com/question/476789663
564961423,,https://www.zhihu.com/question/564961423
564784487,,https://www.zhihu.com/question/564784487
564959113,,https://www.zhihu.com/question/564959113
557602214,,https://www.zhihu.com/question/557602214
552026146,,https://www.zhihu.com/question/552026146
33274530,,https://www.zhihu.com/question/33274530
564977418,564776835,https://www.zhihu.com/question/564977418
564780098,,https://www.zhihu.com/question/564780098
396456056,,https://www.zhihu.com/question/396456056
519487303,,https://www.zhihu.com/question/519487303
564961636,,https://www.zhihu.com/question/564961636
564987901,,https://www.zhihu.com/question/564987901
564988657,,https://www.zhihu.com/question/564988657
564835787,,https://www.zhihu.com/question/564835787
564987154,,https://www.zhihu.com/question/564987154
564964442,,https://www.zhihu.com/question/564964442
,,https://www.zhihu.com/theater/12293
564980837,,https://www.zhihu.com/question/564980837
554394209,,https://www.zhihu.com/question/554394209
565005990,,https://www.zhihu.com/question/565005990
563388605,,https://www.zhihu.com/question/563388605
564800426,,https://www.zhihu.com/question/564800426
564621659,,https://www.zhihu.com/question/564621659
564986255,,https://www.zhihu.com/question/564986255
368510262,,https://www.zhihu.com/question/368510262
547395188,,https://www.zhihu.com/question/547395188
564988211,,https://www.zhihu.com/question/564988211
533933049,,https://www.zhihu.com/question/533933049
559537950,,https://www.zhihu.com/question/559537950
519563663,,https://www.zhihu.com/question/519563663
564652325,,https://www.zhihu.com/question/564652325
564195327,,https://www.zhihu.com/question/564195327
563524792,,https://www.zhihu.com/question/563524792
562148746,,https://www.zhihu.com/question/562148746
564959222,,https://www.zhihu.com/question/564959222
564998839,564849444,https://www.zhihu.com/question/564998839
564849444,564212661,https://www.zhihu.com/question/564849444
564212661,564034344,https://www.zhihu.com/question/564212661
564034344,563976715,https://www.zhihu.com/question/564034344
563976715,563804887,https://www.zhihu.com/question/563976715
563804887,2737832280,https://www.zhihu.com/question/563804887
564975966,,https://www.zhihu.com/question/564975966
564154135,,https://www.zhihu.com/question/564154135
564233516,,https://www.zhihu.com/question/564233516
25112140,,https://www.zhihu.com/question/25112140
315327972,,https://www.zhihu.com/question/315327972
564989516,,https://www.zhihu.com/question/564989516
36890333,,https://www.zhihu.com/question/36890333
324993596,,https://www.zhihu.com/question/324993596
424633596,,https://www.zhihu.com/question/424633596
564958332,,https://www.zhihu.com/question/564958332
564991328,,https://www.zhihu.com/question/564991328
565020488,,https://www.zhihu.com/question/565020488
564812328,,https://www.zhihu.com/question/564812328
564557532,,https://www.zhihu.com/question/564557532
565030401,,https://www.zhihu.com/question/565030401
564992377,,https://www.zhihu.com/question/564992377
563356777,,https://www.zhihu.com/question/563356777
562207001,,https://www.zhihu.com/question/562207001
565039829,,https://www.zhihu.com/question/565039829
564861778,,https://www.zhihu.com/question/564861778
565030989,,https://www.zhihu.com/question/565030989
24656156,,https://www.zhihu.com/question/24656156
563591618,,https://www.zhihu.com/question/563591618
558529808,,https://www.zhihu.com/question/558529808
450448386,,https://www.zhihu.com/question/450448386
565001358,,https://www.zhihu.com/question/565001358
565000386,,https://www.zhihu.com/question/565000386
564447456,,https://www.zhihu.com/question/564447456
564810242,,https://www.zhihu.com/question/564810242
